name,regime,sublabel,n,code_bytes,base_rate,ece_always_benign,ece_oracle,ece_mmae,ece_clf,ece_rule,mmae_pick,mmae_nis_pick,clf_pick,rule_pick,s_glob_benign_eng,s_spat_benign_eng,s_glob_packed_eng,s_glob_obf_eng,nis_benign_eng,nis_packed_eng,nis_obf_eng
icc_coreutils_64_O0_mknod,benign,clean,21704,23920,0.299438,0.002566,0.002566,0.002566,0.002566,0.002566,benign,benign,benign,benign,0.813947,0.059456,0.813947,1.072887,452.020975,452.020975,782.808901
icc_coreutils_64_O0_logname,benign,clean,17869,19804,0.297387,0.003196,0.003196,0.003196,0.003196,0.003196,benign,benign,benign,benign,0.877168,0.064681,0.877168,1.134499,445.153786,445.153786,769.333612
icc_coreutils_64_O2_getlimits,benign,clean,29374,32316,0.263703,0.001679,0.001679,0.001679,0.001679,0.001679,benign,benign,benign,benign,0.668835,0.085178,0.668835,0.951631,475.407646,475.407646,813.439324
icc_coreutils_64_O0_pwd,benign,clean,21195,23592,0.298278,0.003798,0.003798,0.003798,0.003798,0.003798,benign,benign,benign,benign,0.933439,0.061015,0.933439,1.193010,479.095859,479.095859,803.391358
gcc_coreutils_64_O2_mktemp,benign,clean,20162,22156,0.281867,0.003296,0.003296,0.281867,0.003296,0.003296,packed,packed,benign,benign,0.679832,0.078947,0.678744,0.962008,500.159837,499.310337,824.470424
gcc_coreutils_64_O2_dirname,benign,clean,14582,15980,0.278905,0.004828,0.004828,0.278905,0.004828,0.004828,packed,benign,benign,benign,0.671965,0.088253,0.671965,0.954628,472.382139,472.382139,793.792245
gcc_coreutils_64_O2_vdir,benign,clean,61575,67900,0.274803,0.003970,0.003970,0.274803,0.003970,0.003970,packed,packed,benign,benign,0.592722,0.098739,0.592721,0.856527,404.260487,404.258402,724.417779
icc_coreutils_64_O3_unexpand,benign,clean,24698,26828,0.263584,0.002352,0.002352,0.002352,0.002352,0.002352,benign,benign,benign,benign,0.600878,0.066117,0.600878,0.886531,405.433442,405.433442,750.157451
icc_coreutils_64_O0_pr,benign,clean,41888,46656,0.290656,0.001662,0.001662,0.001662,0.001662,0.001662,benign,benign,benign,benign,1.112455,0.060266,1.112455,1.366686,440.096954,440.096954,759.279526
icc_coreutils_64_O3_numfmt,benign,clean,48776,53932,0.266217,0.003044,0.003044,0.266217,0.003044,0.003044,packed,packed,benign,benign,0.579920,0.064592,0.579880,0.833771,354.945017,354.905064,679.353296
icc_coreutils_64_O0_sha224sum,benign,clean,37285,41084,0.321953,0.001748,0.001748,0.001748,0.001748,0.001748,benign,benign,benign,benign,1.051014,0.040832,1.051014,1.283485,395.846467,395.846467,708.328362
gcc_coreutils_64_O1_tee,benign,clean,14873,16140,0.277886,0.002025,0.002025,0.277886,0.002025,0.002025,packed,packed,benign,benign,0.595258,0.064298,0.595258,0.889495,428.071320,428.071305,780.029945
